task,condition,task_pass,agent_exit,oracle_exit,wall_seconds,requests,input_tokens_original_sum,input_tokens_optimized_sum,derived_tokens_saved_sum,reported_tokens_saved_sum,relevance_split_units,search_relevance_chains,lossless_search_mentions,search_result_like_units,dedicated_grep_mentions,shell_rg_mentions,changed_file_entries,start_tree,prompt_sha256
T1,off,True,0,0,85.143915,15,554875,494019,60856,60856,0,0,1,1,1,2,1,9582ff26dcab616d735776091402e5e4e31c52f3,664bee5798c8bd8cb40310be4dc09901ecf44ef74ad7ce7f759b7375231c2741
T1,on,False,0,1,150.697609,20,1201773,1158767,43006,43006,1,1,1,2,2,3,1,9582ff26dcab616d735776091402e5e4e31c52f3,664bee5798c8bd8cb40310be4dc09901ecf44ef74ad7ce7f759b7375231c2741
T5,off,True,0,0,92.386993,16,594672,490142,104530,104530,0,0,2,2,1,2,1,6631a375f065b4e4ca519d326086b3d7f3705a8c,0df880ece8b5ae443bdb5f0b25b3b9d191ca4a9d4f87fcce1194cd3c5ec0ea49
T5,on,True,0,0,169.491325,21,865647,701277,164370,164370,1,1,2,3,1,6,1,6631a375f065b4e4ca519d326086b3d7f3705a8c,0df880ece8b5ae443bdb5f0b25b3b9d191ca4a9d4f87fcce1194cd3c5ec0ea49
T6,off,True,0,0,129.186338,21,1056119,951486,104633,104633,0,0,1,1,1,2,1,2ace78772cf7c21e3aee85547544146a90816193,dd1ee619131c8dad8232dd5712cbd05c2f7cca52ba2c850816d18c8827e86ae2
T6,on,True,0,0,93.687903,17,576656,505362,71294,71294,0,0,1,1,1,2,1,2ace78772cf7c21e3aee85547544146a90816193,dd1ee619131c8dad8232dd5712cbd05c2f7cca52ba2c850816d18c8827e86ae2
